"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"SP2",9,3,2.69621430564599,0.178573189862847,"PAPSS2;CEACAM1;DNMT3A",0.496758146345739
"PPARA",39,9,1.56425626068591,0.190905961079908,"ACSL1;MLYCD;SOD2;ACOX1;IGFBP1;HMOX1;PTGS2;APOB;LPL",0.503530801181194
"ATF6",14,4,2.14701298701299,0.194018210319778,"SRF;DDIT3;STARD4;HSPA5",0.503530801181194
"NFYB",14,4,2.14701298701299,0.194018210319778,"FOS;LPIN1;FXR2;CCND2",0.503530801181194
"SNAI2",14,4,2.14701298701299,0.194018210319778,"JAG1;CDH1;HPGD;CDH2",0.503530801181194
"ETV6",5,2,3.57315181802516,0.19663211991369,"IGFBP5;MAD2L1",0.503530801181194
"HOXA7",5,2,3.57315181802516,0.19663211991369,"CDH1;VIM",0.503530801181194
"NR2F6",5,2,3.57315181802516,0.19663211991369,"LHCGR;APOB",0.503530801181194
"RBL1",5,2,3.57315181802516,0.19663211991369,"BRCA1;CCNA2",0.503530801181194
"SMAD2",5,2,3.57315181802516,0.19663211991369,"BCL2;GLI1",0.503530801181194
"TFAP2B",5,2,3.57315181802516,0.19663211991369,"ERBB2;CRYAB",0.503530801181194
"TNFAIP3",5,2,3.57315181802516,0.19663211991369,"JUN;RELA",0.503530801181194
"TSC22D3",5,2,3.57315181802516,0.19663211991369,"FOXO4;FOXO1",0.503530801181194
"UHRF1",5,2,3.57315181802516,0.19663211991369,"RB1;TOP2A",0.503530801181194
"PML",19,5,1.90116059831567,0.19913055131495,"EGFR;TP53;NR4A1;TNFAIP3;CASP3",0.503530801181194
"XBP1",19,5,1.90116059831567,0.19913055131495,"DDIT3;SOD2;ESR1;ZHX2;HSPA5",0.503530801181194
"ATF1",24,6,1.76189222108832,0.199657093278818,"TGFB2;BCL2;IL10;LDHA;ERBB2;TOP2A",0.503530801181194
"HDAC3",24,6,1.76189222108832,0.199657093278818,"EGFR;CDH1;JUN;LSS;ALOX5;LGALS9",0.503530801181194
"IRF1",51,11,1.42605531960238,0.220222253933431,"BCL2;CDK1;CCNB1;IL10;TP53;CDK2;E2F1;MYB;SOCS2;CEACAM1;VCAM1",0.540308642412847
"CTCF",30,7,1.60042085574,0.223612938107536,"BRCA1;WT1;ANG;SIX5;RAD21;IGF2;ETNK2",0.540308642412847
"HOXB7",10,3,2.33559048770657,0.225240199213591,"WNT5A;EGFR;PDGFA",0.540308642412847
"NR0B1",10,3,2.33559048770657,0.225240199213591,"NR1H4;STAR;AMH",0.540308642412847
"ZBTB16",10,3,2.33559048770657,0.225240199213591,"SOX9;BCL2;CCNA2",0.540308642412847
"NFYA",20,5,1.77764277035237,0.231639599126065,"DDIT3;LPIN1;FXR2;CCND2;HSPA5",0.540308642412847
"HOXA10",15,4,1.95936758893281,0.231974405606564,"CDKN1C;TP53;WT1;IGFBP1",0.540308642412847
"ING4",15,4,1.95936758893281,0.231974405606564,"BCL2;TP53;PTGS2;CASP3",0.540308642412847
"JUNB",15,4,1.95936758893281,0.231974405606564,"SMAD4;EGFR;NQO1;PTGS2",0.540308642412847
"TBP",15,4,1.95936758893281,0.231974405606564,"BCL2;CCNB1;FOS;E2F1",0.540308642412847
